label,type,max_set_size_mean,test_balanced_accuracy_mean,test_f1_weighted_mean,test_precision_mean,test_recall_mean
contains_even,deepsets_mlp_sum,8,0.5416134354899798,0.5423655334296822,0.5537535941799027,0.5546
contains_even,deepsets_mlp_fspool,8,0.5428630740371859,0.5504691991782038,0.5514145868024138,0.5514
contains_even,mlp,8,0.5268832325334056,0.535084495572786,0.5388557689988765,0.5546
contains_even,sorted_mlp,8,0.5307618393783127,0.5366285187788055,0.5442266304414004,0.5536
contains_even,small_set_transformer,8,0.534604151420487,0.5386519818229742,0.5500222488754568,0.5636
contains_even,pna,8,0.5195155816404733,0.5059991262913417,0.5322356776239052,0.5552
mode,deepsets_mlp_sum,8,0.07265026213136155,0.03891470345569772,0.03979501606949792,0.061
mode,deepsets_mlp_fspool,8,0.17377611711479288,0.14639757827570704,0.18093226771682375,0.1766
mode,mlp,8,0.01989720151375062,0.017200991441994322,0.02229979635697344,0.023399999999999997
mode,sorted_mlp,8,0.06408386096016297,0.0391380275457182,0.043381120612417376,0.0534
mode,small_set_transformer,8,0.16135834306137525,0.12351763270450526,0.14433094731730972,0.157
mode,pna,8,0.06880014225486379,0.04076941741698434,0.04455401940190318,0.0618
contains_even,deepsets_mlp_sum,16,0.5341786818272485,0.512211922031572,0.5424951567434758,0.525
contains_even,deepsets_mlp_fspool,16,0.5186847186567727,0.4895641306922055,0.5117639164793255,0.5258
contains_even,mlp,16,0.5132820532745408,0.5113502218621728,0.5179086103395119,0.5268
contains_even,sorted_mlp,16,0.5169298288869743,0.4878612961721709,0.5199852872046273,0.5264
contains_even,small_set_transformer,16,0.5403501523148222,0.482863576411306,0.638841094797737,0.5640000000000001
contains_even,pna,16,0.5108251085372928,0.49771493317000354,0.5159154576285301,0.5186
mode,deepsets_mlp_sum,16,0.014609009640959781,0.01174006618774292,0.01067500169189958,0.0196
mode,deepsets_mlp_fspool,16,0.020162506232277038,0.014965078950965022,0.0349186961973752,0.02
mode,mlp,16,0.008883787511111919,0.0067670153264671,0.01077908340062792,0.007200000000000001
mode,sorted_mlp,16,0.023129754678694096,0.014935206697016621,0.019772889822475957,0.0194
mode,small_set_transformer,16,0.06862315901099476,0.056047931405100435,0.08366731325638595,0.06699999999999999
mode,pna,16,0.03113521660983374,0.02021357007629474,0.02972699812032246,0.030199999999999998
contains_even,deepsets_mlp_sum,32,0.5037155335824683,0.4367287631895394,0.4600692032538426,0.514
contains_even,deepsets_mlp_fspool,32,0.5031328094361527,0.45613972262646885,0.5061468657283309,0.5124000000000001
contains_even,mlp,32,0.5081286713559975,0.5047338366780227,0.509198749525994,0.5104
contains_even,sorted_mlp,32,0.5050175783051738,0.47944433982995305,0.5087546252958456,0.512
contains_even,small_set_transformer,32,0.5474837453255849,0.49889038038486094,0.6370245732401673,0.557
contains_even,pna,32,0.5038997629858352,0.4549485795711913,0.5055211549811518,0.5084
mode,deepsets_mlp_sum,32,0.00821672188983958,0.0031049979201863203,0.0020171728424240804,0.0116
mode,deepsets_mlp_fspool,32,0.01632296511126884,0.01072897563491486,0.014321905392461401,0.014400000000000001
mode,mlp,32,0.0052266612914107,0.00446207035938288,0.00972429844665134,0.0048000000000000004
mode,sorted_mlp,32,0.0136821320845899,0.0107694743636633,0.015438982950394819,0.0162
mode,small_set_transformer,32,0.03492792842592296,0.032744553646956845,0.05576099793006832,0.0374
mode,pna,32,0.01306754162691492,0.01200633235149936,0.01484711921317248,0.0154
contains_even,deepsets_mlp_sum,64,0.49466876690775186,0.41039438639810355,0.43355094787959103,0.5034
contains_even,deepsets_mlp_fspool,64,0.5038065858664094,0.4327158168937383,0.5032605100504057,0.507
contains_even,mlp,64,0.5007378410919081,0.49864720471821045,0.5017045362275283,0.5022
contains_even,sorted_mlp,64,0.509202131889036,0.47330069902602806,0.5131095226208297,0.5126000000000001
contains_even,small_set_transformer,64,0.5745278538555352,0.5376169313944598,0.6555084912741223,0.5808
contains_even,pna,64,0.5065594805883136,0.4459840002869879,0.46007249385085913,0.5065999999999999
mode,deepsets_mlp_sum,64,0.0057430831555409,0.00313924989551454,0.0023612112933218197,0.0092
mode,deepsets_mlp_fspool,64,0.01099753651401116,0.00736026244955128,0.00841449957690898,0.0102
mode,mlp,64,0.0063374168064049205,0.0014255187421810798,0.0020237849230897997,0.0028
mode,sorted_mlp,64,0.0105865800837861,0.00819874341558882,0.011265803515076661,0.0116
mode,small_set_transformer,64,0.038161436008866303,0.0210187839927391,0.03597201856790412,0.0268
mode,pna,64,0.01091458867207098,0.01015719124535238,0.01077085658534424,0.0156
contains_even,deepsets_mlp_sum,128,0.4987890987267736,0.3890816997864487,0.4083818445125945,0.5054000000000001
contains_even,deepsets_mlp_fspool,128,0.49650086084324274,0.3899771497162983,0.3700874309359922,0.5028
contains_even,mlp,128,0.49963385236718716,0.496123782202244,0.500158266710806,0.501
contains_even,sorted_mlp,128,0.5022134825363072,0.44632900975921697,0.5008492591369336,0.5088
contains_even,small_set_transformer,128,0.7129718888359066,0.6990412928222983,0.777639823856393,0.718
contains_even,pna,128,0.5053941011934417,0.4228350838263034,0.5297205684596775,0.5136000000000001
mode,deepsets_mlp_sum,128,0.00659761016895144,0.0032016356476129394,0.00273308950108124,0.0073999999999999995
mode,deepsets_mlp_fspool,128,0.01161749511426976,0.0055147331035909405,0.0056710513342401,0.0114
mode,mlp,128,0.00547104095151078,0.00372353716404972,0.01100674048174044,0.0038
mode,sorted_mlp,128,0.0045368570684936604,0.0043192152801556595,0.00580606150305046,0.0066
mode,small_set_transformer,128,0.023061441578309038,0.01857343980327848,0.02689191610952766,0.0262
mode,pna,128,0.007439577173384721,0.006508521939424999,0.0063938643090994006,0.011
contains_even,deepsets_mlp_sum,256,0.49596756981032303,0.3649503382364719,0.3642863928186616,0.4986
contains_even,deepsets_mlp_fspool,256,0.49717474304396336,0.4073228528236769,0.45159935539424323,0.4984
contains_even,mlp,256,0.5112520730762669,0.5062116846943959,0.5120501777300003,0.511
contains_even,sorted_mlp,256,0.49931555165102043,0.4797218817426452,0.4983854124258832,0.4968
contains_even,small_set_transformer,256,0.7530788646685164,0.7418486941746676,0.8154084258408936,0.7562
contains_even,pna,256,0.4977785044085926,0.4021440829162639,0.44582313434518833,0.49960000000000004
mode,deepsets_mlp_sum,256,0.0059443998344061,0.00334844917238718,0.00238361478877992,0.0106
mode,deepsets_mlp_fspool,256,0.00890898307569242,0.0037221444036207403,0.00278009871911248,0.0104
mode,mlp,256,0.00278069386715756,0.0017550292844409998,0.00315532157051392,0.0021999999999999997
mode,sorted_mlp,256,0.00783741343107764,0.0028812210742162,0.00230779111737294,0.0084
mode,small_set_transformer,256,0.01146884853275012,0.0086727141375259,0.0188366857695818,0.0152
mode,pna,256,0.0081156877027384,0.00742093311485686,0.00958062272725074,0.012
contains_even,deepsets_mlp_sum,512,0.49713284919604356,0.3587775853566752,0.2996017737262439,0.49820000000000003
contains_even,deepsets_mlp_fspool,512,0.4931496356953547,0.3765351086579926,0.34109189666886414,0.4948
contains_even,mlp,512,0.5014604646086527,0.5009347103319504,0.5015801493339354,0.5024
contains_even,sorted_mlp,512,0.5039773122467001,0.4247183452356616,0.5051244088616913,0.5014000000000001
contains_even,small_set_transformer,512,0.8719174767521306,0.8709275365285565,0.8937403752454731,0.8732
contains_even,pna,512,0.5085465224623784,0.44517850299484696,0.48459037902172775,0.5104
mode,deepsets_mlp_sum,512,0.00591634886074118,0.00059384122244434,0.00032361276698802656,0.0064
mode,deepsets_mlp_fspool,512,0.0051862521559879,0.00141512895778836,0.0012827395952419,0.0082
mode,mlp,512,0.00615741920685202,0.00350407326073564,0.00614100425848166,0.0046
mode,sorted_mlp,512,0.00690706781430922,0.0025916695416874197,0.00397658833743876,0.007200000000000001
mode,small_set_transformer,512,0.01188812474124214,0.0067681653423713,0.012041048432990541,0.014799999999999999
mode,pna,512,0.007757612289740701,0.00524725532366208,0.0070806804798008,0.0114
contains_even,deepsets_mlp_sum,1024,0.5,0.3411872153626505,0.25713020000000003,0.507
contains_even,deepsets_mlp_fspool,1024,0.5049448197792791,0.3774534810644196,0.31227998008278635,0.5118
contains_even,mlp,1024,0.5008718484705106,0.49487701607358164,0.5010177499324009,0.5014000000000001
contains_even,sorted_mlp,1024,0.5002380307869176,0.39051761215970127,0.4153338574965978,0.5002
contains_even,small_set_transformer,1024,0.9523749795697041,0.9528984070507116,0.9558326540577007,0.953
contains_even,pna,1024,0.5156653567018457,0.45344752439713243,0.5810823881133962,0.5176000000000001
mode,deepsets_mlp_sum,1024,0.00611691657275418,0.00046630974626469846,0.00029962173345008314,0.0052
mode,deepsets_mlp_fspool,1024,0.00442249775224534,0.00036258353962832,0.00019364478662836843,0.005
mode,mlp,1024,0.00387444500556286,0.0018071151658341999,0.0016544110487213403,0.003
mode,sorted_mlp,1024,0.0031957953378260002,0.0013967632963140203,0.00153178972759986,0.0036000000000000003
mode,small_set_transformer,1024,0.01415017460244756,0.00688147241384338,0.009283591112264419,0.0154
mode,pna,1024,0.0070874147259427,0.0023969689900391,0.0024631868482535,0.0094
