type,data_dim,laten_dim,n_params,max_set_size,min_value,max_value,label,multisets,train_samples,valid_samples,test_samples,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_label_entropy,train_delta,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_label_entropy,valid_delta,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_label_entropy,test_delta,max_epochs,patience,min_delta,lr,batch_size,random_seed,weight_decay,grad_norm_threshold,use_batch_sampler,use_gpu,results_out,loss,epochs,avg_train_loss,best_valid_loss,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_precision,test_recall,avg_test_loss
mlp,1,8,13253,8,-100,100,mode,True,10000,1000,1000,119.7436,42.501897122834414,0,200,121.0,102,7.15142217056767,1.5935304164886475,119.326,43.484545806527635,2,200,122.0,107,7.997574851326865,1.5713962316513062,121.536,41.922460614806475,0,200,123.0,109,8.010913978734623,1.5809353590011597,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,30,3.732814428862329,4.6452876329422,0.027,0.03133866838746518,0.02384286622086532,0.031214250585912658,0.027,4.716790199279785
mlp,1,8,13653,16,-100,100,mode,True,10000,1000,1000,116.0295,39.841521428655305,0,200,115.0,101,6.986846217661313,2.086803913116455,114.986,39.542885630666866,0,200,115.0,101,7.850758951214552,2.0597832202911377,116.575,39.92112692547644,0,200,115.0,101,7.952319540265149,2.063805103302002,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,21,3.606328602274337,5.11337885260582,0.008,0.009795102448775614,0.006293553912321389,0.008657161575321952,0.008,5.1415756940841675
mlp,1,8,14453,32,-100,100,mode,True,10000,1000,1000,112.8575,43.990364783097675,0,200,113.0,101,7.159187897178912,2.649203062057495,113.18,45.9803175282642,0,200,113.0,102,8.06962547433255,2.618053913116455,112.204,43.69510709450201,0,200,113.0,106,8.024708978975802,2.6180479526519775,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,3.965771718639299,5.356264293193817,0.005,0.007253163503163503,0.003793577075098814,0.00513718487394958,0.005,5.343162506818771
mlp,1,8,16053,64,-100,100,mode,True,10000,1000,1000,114.3821,46.0220762198969,0,200,116.0,101,7.271298927111046,3.2619073390960693,116.416,44.38780174777751,0,200,116.0,102,8.146939000178348,3.2282028198242188,113.803,47.067379266324146,0,200,115.0,105,8.243689537899268,3.222740888595581,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,3.73098172413266,5.346978455781937,0.003,0.0031431334622823988,0.0016613199665831244,0.001818107888316617,0.003,5.37829914689064
mlp,1,8,19253,128,-100,100,mode,True,10000,1000,1000,113.3551,48.416530276239335,0,200,116.0,101,7.419879908181046,3.906660556793213,112.126,49.366629660125675,0,200,115.0,102,8.260311612164152,3.873002052307129,112.956,50.65044979069781,0,200,116.0,101,8.397051040166469,3.8627851009368896,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,3.53113687648824,5.412910968065262,0.003,0.006476683937823834,0.0013450834879406308,0.0011888888888888889,0.003,5.423148512840271
mlp,1,8,25653,256,-100,100,mode,True,10000,1000,1000,113.0303,50.58560251603217,0,200,118.0,102,7.499550314331362,4.571545124053955,111.654,51.17384374854013,0,200,117.0,105,8.460190745848461,4.538384914398193,114.506,50.13988396476402,0,200,118.0,101,8.41186311034047,4.524194240570068,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,3.0691885164446315,5.445447593927383,0.003,0.002951388888888889,0.002698039215686274,0.008113636363636363,0.003,5.423699855804443
mlp,1,8,38453,512,-100,100,mode,True,10000,1000,1000,111.6673,52.693967498282,0,200,118.0,107,7.588350333264448,5.248648166656494,111.231,51.36153851862306,0,200,117.0,102,8.543282237210908,5.216047763824463,112.787,52.19219894773548,0,200,117.0,108,8.49937663356377,5.19927453994751,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,2.500045087191416,5.413806259632111,0.005,0.006229953121144831,0.004777272727272727,0.0064958333333333335,0.005,5.396215617656708
mlp,1,8,64053,1024,-100,100,mode,True,10000,1000,1000,109.684,54.33625625675733,0,200,116.0,109,7.648197157979843,5.932857990264893,111.564,53.572604043484766,0,200,119.0,104,8.620047049278453,5.900405406951904,107.862,55.29172592712223,0,200,115.5,101,8.647021268311033,5.8831610679626465,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,1.6208863631462052,5.403938353061676,0.003,0.00242526790750141,0.002837362637362637,0.0029126984126984124,0.003,5.40504577755928
mlp,1,8,3104,8,-100,100,contains_even,True,10000,1000,1000,0.4488,0.4973716517856642,0,1,0.0,0,0.9923358010303415,1.5979773998260498,0.401,0.49010100999691897,0,1,0.0,0,0.9707018590799534,1.5713353157043457,0.433,0.4954906659060289,0,1,0.0,0,0.9861462544718478,1.5927056074142456,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,31,0.6714607101634367,0.6745297573506832,0.576,0.5469612359527679,0.5550569276121847,0.5631069101367646,0.576,0.6799488961696625
mlp,1,8,3504,16,-100,100,contains_even,True,10000,1000,1000,0.4815,0.49965763278468994,0,1,0.0,0,0.9989238795413682,2.0916099548339844,0.439,0.4962650501496151,0,1,0.0,0,0.9883699873164006,2.0607759952545166,0.465,0.4987734956871706,0,1,0.0,0,0.9955813037371506,2.085789442062378,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,28,0.6248991909147152,0.6899010129272938,0.517,0.5051251130539645,0.5030465826352462,0.5080793758480325,0.517,0.7068771831691265
mlp,1,8,4304,32,-100,100,contains_even,True,10000,1000,1000,0.4942,0.49996635886827423,0,1,0.0,0,0.9998143848508712,2.654923439025879,0.446,0.49707544698969,0,1,0.0,0,0.9906983882756732,2.618743419647217,0.48,0.49959983987187184,0,1,0.0,0,0.9979595679909182,2.647390604019165,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,21,0.5906723471087513,0.7073484286665916,0.521,0.5172275641025641,0.5168132553013606,0.5185085589791472,0.521,0.712550051510334
mlp,1,8,5904,64,-100,100,contains_even,True,10000,1000,1000,0.5027,0.4999927099468552,0,1,1.0,1,0.9998904017500386,3.267610788345337,0.455,0.49797088268291345,0,1,0.0,0,0.9932726078300496,3.2280807495117188,0.484,0.499743934430424,0,1,0.0,0,0.9983744155974623,3.2601640224456787,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,0.492109731200854,0.723527904599905,0.499,0.49601992440258824,0.4947445479744849,0.4964180301718244,0.499,0.7441989034414291
mlp,1,8,9104,128,-100,100,contains_even,True,10000,1000,1000,0.5067,0.49995510798470705,0,1,1.0,1,0.9997819290047163,3.9122512340545654,0.454,0.49787950349457055,0,1,0.0,0,0.9930098372997261,3.870725631713867,0.484,0.499743934430424,0,1,0.0,0,0.9983744155974623,3.903857946395874,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,0.31604656929286246,0.7226541861891747,0.495,0.49605195720417705,0.49457921339267047,0.4965423786011868,0.495,0.7485613748431206
mlp,1,8,15504,256,-100,100,contains_even,True,10000,1000,1000,0.5073,0.49994670715987316,0,1,1.0,1,0.9997576949888691,4.576894760131836,0.459,0.498316164698678,0,1,0.0,0,0.9942656493832003,4.533544063568115,0.485,0.49977494935220584,0,1,0.0,0,0.9984637126806026,4.5673980712890625,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,0.15676535913862302,0.742334209382534,0.521,0.5175958362526274,0.5147791701708124,0.5188671499215203,0.521,0.7486318349838257
mlp,1,8,28304,512,-100,100,contains_even,True,10000,1000,1000,0.5085,0.499927744779183,0,1,1.0,1,0.9997029943555708,5.253628253936768,0.46,0.49839743177508444,0,1,0.0,0,0.9944994096431793,5.209855556488037,0.487,0.49983097142934235,0,1,0.0,0,0.9986250142150694,5.243078708648682,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,0.21487071016329362,0.8139013722538948,0.505,0.5050033822864257,0.5050836691400847,0.505338,0.505,0.809963371604681
mlp,1,8,53904,1024,-100,100,contains_even,True,10000,1000,1000,0.5091,0.4999171831413679,0,1,1.0,1,0.9996725275805787,5.937697887420654,0.461,0.498476679494638,0,1,0.0,0,0.9947273736897438,5.8932366371154785,0.489,0.4998789853554558,0,1,0.0,0,0.9987632631201516,5.9266037940979,500,15,1e-09,0.001,64,9,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,0.17748587074505384,0.8053311035037041,0.515,0.5143029226145455,0.5145612337211503,0.5145765856950067,0.515,0.7891406528651714
mlp,1,8,13253,8,-100,100,mode,True,10000,1000,1000,119.9952,42.616132825022966,0,200,122.0,102,7.141961307484107,1.6007636785507202,118.128,43.00369305071368,0,200,119.0,102,7.989194475325093,1.6070263385772705,118.188,43.10859144068616,0,200,120.0,104,8.019004451163159,1.6034399271011353,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,29,3.7968788768069577,4.62698158621788,0.023,0.01730968482659162,0.016021203427036747,0.03177545208414774,0.023,4.621751934289932
mlp,1,8,13653,16,-100,100,mode,True,10000,1000,1000,115.4967,39.29116680769356,0,200,115.0,102,6.93801484477651,2.096096992492676,115.219,40.364254471004415,0,199,115.0,106,7.842121279309284,2.1014459133148193,117.636,38.33055574864523,0,200,116.0,103,7.905023151288646,2.0974459648132324,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,19,3.6909966424286966,5.148047149181366,0.007,0.015324228145902665,0.0065804375804375806,0.009953252032520322,0.007,5.1232254803180695
mlp,1,8,14453,32,-100,100,mode,True,10000,1000,1000,112.8781,44.1583428175243,0,200,113.0,102,7.181580466204713,2.6601147651672363,112.407,45.350913452762995,0,200,113.0,102,7.9925861463547925,2.666325569152832,111.125,44.97587547786035,0,200,112.0,104,8.060737815085533,2.664741277694702,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,19,3.8584247959668523,5.323238968849182,0.006,0.004922412531108184,0.006985209235209237,0.012025,0.006,5.32648891210556
mlp,1,8,16053,64,-100,100,mode,True,10000,1000,1000,114.8212,46.537999855601875,0,200,116.5,101,7.30838162492396,3.274092674255371,110.446,47.15793765634795,0,200,115.0,103,8.238716741710544,3.2827086448669434,114.422,44.322589229421155,0,200,115.5,103,8.133012455455837,3.2797882556915283,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,3.805255344788047,5.382661283016205,0.004,0.012544802867383511,0.0010052532833020637,0.0006190651453809349,0.004,5.3949083387851715
mlp,1,8,19253,128,-100,100,mode,True,10000,1000,1000,112.7385,48.8454493044132,0,200,116.0,102,7.408094859505291,3.919740676879883,113.671,48.71066370929471,0,200,115.0,101,8.348340331721387,3.9290590286254883,112.789,48.59346127824195,0,200,115.0,106,8.329985739260012,3.9267334938049316,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,3.5501682406381976,5.430222421884537,0.003,0.0025709219858156026,0.004517857142857143,0.01933333333333333,0.003,5.412478357553482
mlp,1,8,25653,256,-100,100,mode,True,10000,1000,1000,112.5426,51.05134851539183,0,200,117.0,102,7.522458961142519,4.585209369659424,109.775,51.561345744656435,0,200,117.0,101,8.462723408976789,4.595020294189453,111.91,49.95517891069953,0,200,115.0,101,8.456443181242909,4.592075824737549,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,3.1715233947396455,5.422940105199814,0.001,0.0008635578583765112,0.0010909090909090907,0.0012000000000000001,0.001,5.428257435560226
mlp,1,8,38453,512,-100,100,mode,True,10000,1000,1000,111.0085,52.973863628680135,0,200,117.0,101,7.586884530514437,5.26270055770874,110.213,52.119762384339396,0,200,117.5,108,8.536601845340524,5.272765636444092,112.366,53.59861979566265,0,200,118.5,102,8.616079932433728,5.270244598388672,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,2.458909975147542,5.379255175590515,0.008,0.010484657720838626,0.006589778413307826,0.010296522366522365,0.008,5.381493479013443
mlp,1,8,64053,1024,-100,100,mode,True,10000,1000,1000,109.5875,54.62546973482242,0,200,116.0,104,7.652395678953686,5.946806907653809,106.983,53.58248511407436,0,200,114.0,108,8.65366103172152,5.957937240600586,107.365,54.21128826176334,0,200,115.0,125,8.621776709789302,5.954519748687744,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,1.6322539599244856,5.424943178892136,0.001,0.00046382189239332097,0.0010999999999999998,0.0012222222222222222,0.001,5.430967539548874
mlp,1,8,3104,8,-100,100,contains_even,True,10000,1000,1000,0.4306,0.49516021649563086,0,1,0.0,0,0.9859721910594683,1.5940666198730469,0.44,0.4963869458396343,0,1,0.0,0,0.9887201314390118,1.599164605140686,0.438,0.49614110895994107,0,1,0.0,0,0.9880139972642197,1.5947586297988892,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,38,0.6677630742844085,0.6828301399946213,0.543,0.522388241602886,0.53106760655329,0.531532142034601,0.543,0.678800456225872
mlp,1,8,3504,16,-100,100,contains_even,True,10000,1000,1000,0.4637,0.49868056910210556,0,1,0.0,0,0.996106797740983,2.0868184566497803,0.463,0.49862912068991716,0,1,0.0,0,0.995165920436754,2.0923960208892822,0.476,0.49942366784124287,0,1,0.0,0,0.9974524241262026,2.0889389514923096,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,23,0.652897303134513,0.6850450970232487,0.511,0.5014513438963372,0.4909181233563899,0.5028396712912133,0.511,0.6973121650516987
mlp,1,8,4304,32,-100,100,contains_even,True,10000,1000,1000,0.4783,0.49952888805353385,0,1,0.0,0,0.9985525758920393,2.6498355865478516,0.48,0.49959983987187184,0,1,0.0,0,0.9979595679909182,2.6514930725097656,0.487,0.49983097142934235,0,1,0.0,0,0.9986250142150694,2.6505205631256104,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,22,0.5733027564911157,0.7081390656530857,0.497,0.4934075434994056,0.4872843484285187,0.49325794523632205,0.497,0.7203409150242805
mlp,1,8,5904,64,-100,100,contains_even,True,10000,1000,1000,0.4866,0.49982040774662256,0,1,0.0,0,0.9993933730954585,3.2634477615356445,0.486,0.4998039615689336,0,1,0.0,0,0.9985472453309616,3.262950897216797,0.496,0.4999839997439918,0,1,0.0,0,0.9990656518671805,3.26251220703125,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,18,0.4807087864131084,0.7289207056164742,0.486,0.486255120327701,0.48548148148148146,0.4862244071717756,0.486,0.7373392693698406
mlp,1,8,9104,128,-100,100,contains_even,True,10000,1000,1000,0.4906,0.49991163219113044,0,1,0.0,0,0.999656515041087,3.909062147140503,0.489,0.49987898535545583,0,1,0.0,0,0.9987632631201516,3.9083497524261475,0.494,0.4999639987039066,0,1,0.0,0,0.9990080572620664,3.9059760570526123,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,17,0.3074989790973238,0.732779536396265,0.503,0.5032524683554431,0.5027986697006827,0.5033313885694365,0.503,0.7321816347539425
mlp,1,8,15504,256,-100,100,contains_even,True,10000,1000,1000,0.4918,0.49993275547817423,0,1,0.0,0,0.9997174486130099,4.574507713317871,0.493,0.49995099759876466,0,1,0.0,0,0.9989706199483201,4.5721259117126465,0.498,0.4999959999839998,0,1,0.0,0,0.9991002078959381,4.571247577667236,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,0.1816007749977673,0.7425387762486935,0.501,0.5009800156802509,0.5009895204865038,0.5009880588058806,0.501,0.7450966536998749
mlp,1,8,28304,512,-100,100,contains_even,True,10000,1000,1000,0.4932,0.49995375786166457,0,1,0.0,0,0.9997780342704705,5.252198219299316,0.493,0.49995099759876466,0,1,0.0,0,0.9989706199483201,5.247480392456055,0.499,0.499998999999,0,1,0.0,0,0.9991088468170801,5.247703552246094,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,0.16282512933243076,0.7819622382521629,0.499,0.499003996015984,0.49899849699849697,0.49900597609561753,0.499,0.7891270481050014
mlp,1,8,53904,1024,-100,100,contains_even,True,10000,1000,1000,0.4937,0.4999603084245788,0,1,0.0,0,0.9997969308785415,5.936498641967773,0.493,0.49995099759876466,0,1,0.0,0,0.9989706199483201,5.930354118347168,0.5,0.5,0,1,0.5,0,0.9991117264498124,5.93217658996582,500,15,1e-09,0.001,64,99,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,0.08367649700146032,0.776550117880106,0.499,0.499,0.4978908408674763,0.4989910852290842,0.499,0.7840954475104809
mlp,1,8,13253,8,-100,100,mode,True,10000,1000,1000,120.1032,42.75069063488917,0,200,121.0,103,7.161220696173384,1.5925837755203247,120.459,42.22769611285939,0,200,122.0,102,7.929163900977169,1.5986740589141846,121.719,41.31711556970065,0,200,122.0,104,7.967215456402102,1.58424711227417,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,25,3.9312925329738087,4.636232107877731,0.013,0.017601844712431876,0.007500837939784777,0.006494291464521966,0.013,4.646221876144409
mlp,1,8,13653,16,-100,100,mode,True,10000,1000,1000,115.4972,39.31495379826867,0,200,115.0,102,6.949414921246175,2.0844385623931885,117.782,38.78224433938809,0,200,116.0,101,7.807766169160834,2.0934879779815674,114.843,40.092522382608955,1,200,114.0,104,7.811508102691493,2.0792086124420166,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,18,3.779988293148256,5.167592644691467,0.01,0.010780479683827865,0.009617938554924162,0.013028654188948307,0.01,5.203100919723511
mlp,1,8,14453,32,-100,100,mode,True,10000,1000,1000,113.148,44.7469227545314,0,200,113.0,101,7.171372345299011,2.64734148979187,111.92,44.400918909409974,0,199,113.0,101,8.136629587170486,2.655341386795044,114.091,41.76686149329394,0,200,112.0,104,8.099471028471942,2.6367149353027344,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,3.9545586729987745,5.3826457262039185,0.004,0.005959416863672182,0.003541176470588235,0.005404761904761904,0.004,5.3942893743515015
mlp,1,8,16053,64,-100,100,mode,True,10000,1000,1000,114.0579,46.19104185434661,0,200,116.0,101,7.293545871058045,3.2595133781433105,114.097,45.39805712803137,0,200,117.0,102,8.158359497354969,3.2679433822631836,114.716,45.49755316497801,0,200,116.0,101,8.212720404675341,3.2493245601654053,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,3.8387494241218216,5.3998139798641205,0.002,0.0031746031746031746,0.001982905982905983,0.0036190476190476185,0.002,5.375692129135132
mlp,1,8,19253,128,-100,100,mode,True,10000,1000,1000,113.8979,48.561536997813405,0,200,117.0,101,7.416780601879811,3.9042789936065674,113.177,48.38939626612426,0,200,117.0,107,8.439936627015504,3.9142637252807617,113.428,47.563061465805575,0,200,116.0,104,8.318460060850299,3.893270492553711,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,16,3.535447829595329,5.446042358875275,0.005,0.005952380952380952,0.004158280542986425,0.007572843822843822,0.005,5.4210153222084045
mlp,1,8,25653,256,-100,100,mode,True,10000,1000,1000,111.7463,51.005348114781064,0,200,117.0,103,7.5261193135830196,4.569217205047607,112.377,50.62660240426963,0,200,117.5,105,8.434234224179999,4.5792436599731445,111.277,50.09095997283342,0,200,117.0,102,8.502624163594174,4.557127475738525,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,3.1946074853511184,5.394194185733795,0.002,0.0016483516483516481,0.001623529411764706,0.0013666666666666666,0.002,5.406644135713577
mlp,1,8,38453,512,-100,100,mode,True,10000,1000,1000,111.3964,52.47523479737847,0,200,118.0,105,7.591274005871844,5.2461652755737305,111.623,52.38970195563247,0,200,118.0,109,8.53820326521869,5.256960391998291,113.698,51.413780215035736,0,200,118.0,112,8.57302018042893,5.234511375427246,500,15,1e-09,0.001,64,999,0.005,10.0,False,True,mlp-diff-task-sizes-classification.csv,ce,15,2.5180105262942662,5.41548752784729,0.004,0.005491422158088824,0.0029953846153846155,0.010102891156462585,0.004,5.404850214719772
