model,n_params,train_n_samples,train_max_set_size,train_min_value,train_max_value,train_label,train_multisets,train_label_mean,train_label_std,train_label_min,train_label_max,train_label_median,train_label_mode,train_delta,valid_n_samples,valid_max_set_size,valid_min_value,valid_max_value,valid_label,valid_multisets,valid_label_mean,valid_label_std,valid_label_min,valid_label_max,valid_label_median,valid_label_mode,valid_delta,test_n_samples,test_max_set_size,test_min_value,test_max_value,test_label,test_multisets,test_label_mean,test_label_std,test_label_min,test_label_max,test_label_median,test_label_mode,test_delta,lr,weight_decay,batch_size,loss,max_epochs,early_stopping_patience,random_seed,epochs,avg_train_loss,best_valid_loss,avg_test_loss
deepsets_mlp_sum,251,10000,10,0,10,longest_seq_length,True,1.529,0.6856814026832581,1.0,7.0,1.0,1.0,1.7536474466323853,1000,10,0,10,longest_seq_length,True,1.549,0.6794108152389526,1.0,4.0,1.0,1.0,1.768372893333435,1000,10,0,10,longest_seq_length,True,1.522,0.692470908164978,1.0,5.0,1.0,1.0,1.7461247444152832,0.001,0.005,64,mse,200,5,99,17,0.3353007692060653,0.32891317643225193,0.3374234149232507
deepsets_mlp_sum,251,10000,10,0,10,longest_seq_length,True,1.529,0.6856814026832581,1.0,7.0,1.0,1.0,1.7536474466323853,1000,10,0,10,longest_seq_length,True,1.549,0.6794108152389526,1.0,4.0,1.0,1.0,1.768372893333435,1000,10,0,10,longest_seq_length,True,1.522,0.692470908164978,1.0,5.0,1.0,1.0,1.7461247444152832,0.001,0.005,64,mse,200,5,99,17,0.3353007692060653,0.32891317643225193,0.3374234149232507
deepsets_mlp_sum,251,10000,10,0,10,longest_seq_length,True,1.529,0.6856814026832581,1.0,7.0,1.0,1.0,1.7536474466323853,1000,10,0,10,longest_seq_length,True,1.549,0.6794108152389526,1.0,4.0,1.0,1.0,1.768372893333435,1000,10,0,10,longest_seq_length,True,1.522,0.692470908164978,1.0,5.0,1.0,1.0,1.7461247444152832,0.001,0.005,64,mse,200,5,99,14,0.3606566243673258,0.6335655993083492,0.7074566378025338
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.7536474466323853,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.768372893333435,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461247444152832,0.001,0.005,64,mse,200,5,99,29,0.009458009710789682,0.0009271547947719228,0.0009105666016694158
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.7536474466323853,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.768372893333435,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461247444152832,0.001,0.005,64,mse,200,5,99,40,0.0023063442524146106,0.00033798057629610414,0.00021071254304843022
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.7536474466323853,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.768372893333435,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461247444152832,0.001,0.005,64,mse,200,5,99,40,0.0023063442524146106,0.00033798057629610414,0.00021071254304843022
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.7536474466323853,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.768372893333435,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461247444152832,0.001,0.005,64,mse,200,5,99,40,0.0023063442524146106,0.00033798057629610414,0.00021071254304843022
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.7536474466323853,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.768372893333435,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461247444152832,0.001,0.005,64,mse,200,5,99,40,0.0023063442524146106,0.00033798057629610414,0.00021071254304843022
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.7536474466323853,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.768372893333435,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461247444152832,0.001,0.005,64,mse,200,5,99,40,0.0023063442524146106,0.00033798057629610414,0.00021071254304843022
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,0.0022717117688826924,0.0009583948194631375,0.0009381639494677075
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,0.0022717117688826924,0.0009583948194631375,0.0009381639494677075
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,45.420457836804225,75.69256567060947,79.2345318198204
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,0.0022717117688826924,0.0009583948194631375,0.0009381639494677075
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,0.0022717117688826924,0.0009583948194631375,0.0009381639494677075
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,0.0022717117688826924,0.0009583948194631375,0.0009381639494677075
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,45.420457836804225,75.69256567060947,79.2345318198204
deepsets_mlp_sum,251,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,0.0021314826473467236,0.00047919740973156877,0.00046908197473385373
pna,141,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,122,56.2656404339237,52.35697538852692,52.35056412220001
pna,141,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,103,0.16013332308468733,0.16638015005737544,0.14894389463588595
pna,141,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,103,0.16013332308468733,0.16638015005737544,0.14894389463588595
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,42.61672587156939,37.846282835304734,39.6172659099102
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,128,mse,200,5,99,19,51.633681635295645,52.94279537200928,53.57123883962631
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,15,81.20647487379496,61.718954205513,60.220992064476015
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,15,81.20647487379496,61.718954205513,60.220992064476015
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,15,81.20647487379496,61.718954205513,60.220992064476015
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,32,mse,200,5,99,16,71.87519395809457,55.117496551117966,55.15858334616611
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,128,mse,200,5,99,19,76.8078393839738,70.5709427177906,67.43355068005621
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.01,0.005,128,mse,200,5,99,6,180.48090528600355,107.4348973274231,101.54230327606201
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.0001,0.005,128,mse,200,5,99,38,85.81805263819064,76.24220561981201,72.26075749397278
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,15,81.20647487379496,61.718954205513,60.220992064476015
pna,141,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,64,0.833141718769768,0.6749930620193482,0.6321766041219234
pna,141,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,64,0.833141718769768,0.6749930620193482,0.6321766041219234
pna,141,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,64,0.833141718769768,0.6749930620193482,0.6321766041219234
pna,141,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,65,0.6154214330726299,0.5975850407034159,0.5633398788049817
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,58.12503958332502,42.03092277273536,41.75903034619987
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,18,68.8281278146954,50.5969762802124,49.34403023719788
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,64,mse,200,5,99,29,58.12503958332502,42.03092277273536,41.75903034619987
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.05,64,mse,200,5,99,26,72.60249701437805,52.93451180458069,52.21880600452423
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.5,64,mse,200,5,99,11,113.6182235751623,82.66110315322877,82.20779533386231
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.0005,64,mse,200,5,99,14,73.29567477750925,53.90627987086773,52.6811642896384
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.0001,0.005,64,mse,200,10,99,45,72.68385368302741,59.69024229981005,57.588120225816965
small_set_transformer,37953,100000,10,0,10,sum,True,24.7067,14.558171272277832,0.0,74.0,24.0,9.0,1.749294040278331,1000,10,0,10,sum,True,24.537,14.254354476928711,0.0,63.0,23.0,9.0,1.7376200071685757,1000,10,0,10,sum,True,24.022,14.474720001220703,0.0,66.0,23.0,15.0,1.7267473556180368,0.001,0.005,64,mse,200,5,99,26,10.928365960062894,9.112555067241193,12.553076066076756
small_set_transformer,37953,200000,10,0,10,sum,True,24.766344,14.576179504394531,0.0,79.0,24.0,9.0,1.7503853256374144,10000,10,0,10,sum,True,24.8089,14.563164710998535,0.0,71.0,24.0,9.0,1.751991851807466,10000,10,0,10,sum,True,24.6527,14.664068222045898,0.0,70.0,24.0,9.0,1.745372267944799,0.001,0.005,64,mse,200,5,99,21,7.485991379484115,5.545656842451473,5.014715335192159
small_set_transformer,37953,10000,10,0,10,sum,True,24.8074,14.545263290405273,0.0,73.0,24.0,9.0,1.753647407925093,1000,10,0,10,sum,True,25.297,14.646255493164062,0.0,71.0,25.0,9.0,1.7683728929609726,1000,10,0,10,sum,True,24.489,14.83232593536377,0.0,65.0,23.0,12.0,1.7461246794727823,0.001,0.005,4,mse,200,5,99,30,17.41102591434133,17.4451914184419,18.314679806277443
small_set_transformer,37953,100000,10,0,10,sum,True,24.7067,14.558171272277832,0.0,74.0,24.0,9.0,1.749294040278331,10000,10,0,10,sum,True,24.6222,14.399496078491211,0.0,74.0,24.0,9.0,1.751654840144416,10000,10,0,10,sum,True,24.7994,14.507707595825195,0.0,79.0,24.0,9.0,1.752230441540821,0.0001,0.005,1024,mse,200,5,99,24,81.58239051930606,64.58885249992211,70.77383452653885
